,bot,human
0,A3RQN5RZD1N2KP,
1,"Hello, I am here to help you looking for a movie trailer",Hi BlueBot can you find me something scary to watch?
2,What type of movies do you like to watch?,"Horror movies, scary movies"
3,What was the last movie you watched?,Halloween
4,Have you seen the movie Antlers?,no I havent seen it
5,I think the movie has great actors in it!,what actors are in the movie?
6,I think the movie has great actors in it!,who directed it?
7,I think the movie has great actors in it!,what else can you tell me about the movie?
8,"The movie was made in 1994 and is about ""A young teacher discovers that her troubled students father and younger brother harbor a deadly supernatural secret. Taking the boy into her care, the teacher must fight for their survival against horrors beyond imagination.""",accept
9,Thanks for chatting with me!,
10,,
11,A39VDI1CVOMMIN,
12,"Hello, I am here to help you look for a movie trailer.",I would like a trailer for black widow please
13,What kind of movies do you like?,I like action movies
14,"I like action too, I like Avengers: Endgame , but not Max Steel.","I like endgame too, but havent watched max steel"
15,Have you seen the trailer for Monster Trucks?,I have not
16,It is a great movie. I think you will enjoy it. It is one of my favorites.,Thank you for the recommendation
17,No problem!,What else would you recommend
18,"It is about ""Looking for any way to get away from the life and town he was born into, Tripp, a high school senior, builds a Monster Truck from bits and pieces of scrapped cars. After an accident at a nearby oil-drilling site displaces a strange and subterranean creature with a taste and a talent for speed, Tripp may have just found the key to getting out of town and a most unlikely friend.""",That sounds odd
19,If you like action then you should also watch Kill Switch.,Whats that about?
20,"""A pilot battles to save his family and the planet after an experiment for unlimited energy goes wrong.""",That sounds really interesting
21,"""A pilot battles to save his family and the planet after an experiment for unlimited energy goes wrong.""",You said that already
22,"You should watch the movie as it is about ""A pilot battles to save his family and the planet after an experiment for unlimited energy goes wrong.""",You are like a broken record about that
23,You are really like me.,I think you might be borken
24,Not at all. Sorry. It is not my style. Do you like movies like that?,I do
25,"Sorry, I did not realize you like movies. I am not here to help you find a movie trailer.",You initially said you were going to help me find a trailer
26,I think I am not trying to help you find a movie trailer.,I think you are broken
27,No problem! I am here to help you find a movie trailer.,Can you please find me a trailer for Black Widow
28,Do you like movies like Kickboxer: Vengeance?,Ive never heard of it
29,It is one of my favorites too. It is a great movie.,Thats great
30,Another movie I recommend is Collide.,Whats that about?
31,"""An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Munichs autobahns.""",That sounds interesting
32,"""An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Munichs autobahns.""",You said that already
33,Task Finished!,
34,,
35,A8C3WNWRBWUXO,
36,Hello! I am here to help you find a movie trailer.,"Excellent, how can I help?"
37,Do you know what kind of movie trailers you would like to see?,"Some kind of drama, intelligent though."
38,Got it! What do you like about drama?,"I like the story, but I dont like it to be obvious."
39,Got it! I think you would like Bloodshot.,What is it about?
40,"""After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—Bloodshot. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that theres more to the conspiracy than he thought.""",It sounds a little dumb to me.
41,"I think you would like Underwater. It has Kristen Stewart, and Kristen Stewart  .",Sounds interesting.
42,I think you would like it if you enjoyed the drama series.,accept
43,Thanks for chatting with me!,
44,,
45,A15VCKELIEEPJN,
46,"Hi, I am here to help you looking for a movie trailer.",Yes I would like to see something new.
47,What type of movies do you like?,I like Sci-Fi 
48,Great. What was the last sci-fi movie you saw?,I seen Prometheus
49,Have you seen the movie The Irishman?,No 
50,"It is the latest movie in the next chapter of the Martian race. It is a bit of a sci fi movie, and it is a good movie. It has a great soundtrack and is a fun movie.",Wow tell me more
51,"I recommend the movie, It is the newest movie in the series.  ""A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.""",Oh yes I have seen this one on Netflix
52,If you like sci fi then you would like to check out the movie Midway. It is the second installment in the series.,Whats Midway about?
53,Mary Queen of Scots is the latest movie in the series of the Martian race.,What about Midway 
54,It is an animated movie and has a good soundtrack and story.,It it in theaters
55,I think you will enjoy it.,Do you have any space movies to recommend?
56,"The plot is like this: ""The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.""",Love it
57,I think you will enjoy it.,accept
58,Thanks for chatting with me!,
59,,
60,A1ROEDVMTO9Y3X,
61,"Hi, I am here to help you looking for a movie trailer.","Hi, can i see any new james bond movie"
62,I think you would like Like a Boss. It has been a long time since I saw that one.,oh when was it going to release
63,It was released in December of last year. It is an action/adventure movie.,accept
64,Thanks for chatting with me!,
65,,
66,A1K8QNLYYYX21W,
67,Hey! I am here to help you look for a movie trailer,That sounds great. Id like to find a good sci-fi movie.
68,What was the last sci-fi movie you watched?,Star-Wars was the last movie I watched.
69,I would recommend seeing the new Star Wars: The Rise of Skywalker,"That was the one I saw, can you recommend another movie?"
70,sci-fi.,Yes can you recommend another sci-fi movie?
71,action is my favorite!,What would you recommend as an action movie?
72,The main character is a Sith Lord who plays a key role in the film. Joaquin Phoenix is also a main character in the movie,Did it do well in the theatre?
73,"The movie made a good impression on the audience as well, and the movie was so good.",[accept]
74,Thanks for chatting with me!,
75,,
76,A2P065E9CYMYJL,
77,"Hello, Im here to help you look for a movie trailer",yes
78,What type of movies do you like?,horror movies4
79,Nice! What was the last horror movie you watched?,tiger
80,Youll love this movie! Ive watched it several times. What about Antlers?,yes
81,Have you seen the second one? Its a bit different but the first one is really scary. Its definitely a must watch,yes
82,"If you havent seen it, I highly recommend it. Its the perfect movie for you.",ok
83,I think youll really like it. Do you like horror or horror movies?,yes
84,Underwater is a great movie! You should check it out!,ok
85,I understand. Have you seen the trailer for Zombieland: Double Tap?,ok
86,It has horror and horror.,ok
87,"If you like horror and action movies, you should definitely check out the new Doctor Sleep.",yes
88,Would you like to watch this movie trailer?,ok
89,Id love to help you find a movie trailer.,yes
90,Would you like to watch the movie trailer for The Addams Family?,yes
91,I think that would be the best choice for you.,ok
92,Have a great day.,yes
93,I hope you enjoy!,bye
94,Have a good day,ok
95,Youre welcome,ok
96,I hope you enjoy this movie.,yes
97,Youre welcome.,ok
98,Task Finished!,ok
99,Have a good day.,
100,,
101,AQ9Y6WD8O72ZC,
102,"Hello, I am here to help you looking for a movie trailer.",What suggestions do you have for me?
103,Great! What kind of movies do you like?,I like comedy movies
104,What was the last comedy movie that you watched?,Home Alone
105,"Thats a good movie. Another good one is Like a Boss. Its about ""Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.""",Nice. I will like to check it out
106,Do you like comedy movies or do you prefer a more comedic or a more adult version?,I like comedy movies
107,Nice! I would recommend watching the movie Onward. Its about a group of friends who are afraid of heights. Its also a comedy film.,Nice
108,Do you like movies with more adult humor or more of a family friendly type of movie?,Adult humor for sure
109,I think the movie has great actors in it!,Nice
110,It is a family friendly movie with a similar story and similar humor.,pk
111,How is it?,ok
112,Well I hope you enjoy the movie.,Thanks
113,Youre welcome!,[quit]
114,Thanks for chatting with me!,
115,,
116,A3VHNIFFP8Y9H7,
117,"Hello, I am here to help you look for a movie trailer.",Thnaks
118,What type of movie trailers are you interested in?,Horror
119,Are you looking for a movie that is similar to The Irishman or something different?,yeah
120,Have you seen the movie Midway? It is a very unique movie that is really creepy.,yeah I have seen that
121,I enjoyed it a lot. It has a lot of suspense. Do you like movies similar to that?,yeah I too enjoyed that movie. Yeah I like movies similar to Midway
122,You would like to watch the trailer for Mary Queen of Scots.,sure
123,"Great, I hope you enjoy it.",yup
124,Would you like to watch the trailer for Midway. It is a horror and biography movie.,yeah I like to watch it
125,"Great, I hope you enjoy the trailer.",yeah
126,Awesome! Enjoy!,have you enjoyed too
127,"Yes, I have.",perfect
128,Have a wonderful day!,you too
129,Goodbye,bye see you later
130,Bye,quit
131,Thanks for chatting with me!,
132,,
133,A2OR46JV43TOJV,
134,"Hello, Im here to help you look for a movie trailer. What kind of movies do you like?",Action
135,"Ah, those are awesome. What was the last movie you watched?",Captain Marvel
136,Thats awesome! I highly recommend that you check out the trailer for Ant-Man and the Wasp.,accept
137,Thanks for chatting with me!,
138,,
139,AEF74ZYJTTEIA,
140,Hello! I am here to help you find a movie trailer to watch.,Do you have anything on mythology?
141,"Hmm, lets see what I can come up with. What are some of your favorite types of movies?",I like movies that are historical and based in the distant past.
142,I like historical ones too. Have you seen Like a Boss? It is an older movie that has an interesting historical backstory. It is one of the best historical movies Ive seen.,Is it pre-industrial?
143,"Yes, it is. It is an early 1900s film about the rise of the Phoenix.",Is there swords?
144,Yes. Yes there is.,"Sounds decent, but is there anything else you could recommend, maybe that takes place in the medieval period?"
145,I think you would like Onward. It is one of my favorites.,[accept]
146,Thanks for chatting with me!,
147,,
148,A3U6IA3JUSFZ2M,
149,"Hello, I am here to help you look for a movie trailer.",yes tell me
150,Do you like movies that are about high school?,yes i like it
151,What type of movies do you enjoy?,super hero 
152,Have you seen the movie Like a Boss?,super men 
153,There is a movie called Onward with Tom Holland.,yes 
154,"I highly recommend the movie, Trolls World Tour.",i like it in this movie
155,Do you like the movie Marriage Story?,yes i like marriage story
156,I recommend that you watch this movie trailer.,one day 
157,I am sorry.,y
158,You are not able to view this movie trailer.,yes i am not view this trailer
159,"It is about ""A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.""",yes i know
160,Have you seen The Irishman?,i do not seen the irishman
161,"It is about ""Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.""",nice story
162,I hope you enjoy the movie trailer.,yes sure
163,Enjoy the movie.,thank yo so much
164,You are welcome.,bye have a nice day
165,You too.,you are welcome
166,bye.,bye
167,It is bye.,oh
168,You are welcome.,i am watched the trailer
169,Goodbye.,Y
170,Task Finished!,
171,,
172,AJD65G9H2QUE9,
173,Hey! I am here to help you look for a movie trailer. What kind of movies do you like?,Scary ones
174,Cool! Whats the latest movie you have seen?,I just finished watching The Island
175,Great! I just watched that one. Have you seen Surrogates?,No I havent
176,I also really liked Minority Report . Have you seen the original Jumper?,Yes
177,The remake was awesome. Its a great one and full of laughs! Do you like animated movies?,"No I do not, I think they are childish and immature."
178,I agree! I think you will like Swordfish. It has some adult humor and a good story line. Its definitely a must see for everyone!,[accept]
179,Thanks for chatting with me!,
180,,
181,A1DH31FIHH5Y29,
182,"Hi there, I am here to help you look for a movie trailer.",no
183,What kind of movie trailers do you like?,comedy
184,Ok. What is the last movie you watched?,plus one
185,Have you ever watched Like a Boss?,no
186,What is your favorite movie?,plus one
187,Have you seen any movies with Rose Byrne?,no
188,I would suggest watching Onward . Have you ever seen The Kings Man?,no
189,It is a great movie. The actors are Gemma Arterton.,ok
190,Do you like Trolls World Tour?,like
191,"I would recommend watching it. It is about ""Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.""",amazing
192,You will really like it.,like it
193,I think you will really like this movie.,slightly like it
194,I hope you like it as much as I do.,ok
195,Have a great night.,you to
196,You too.,thank you
197,No problem.,it is ok
198,No problem.,ok
199,Bye,bye
200,Bye,ypu to
201,Bye,welcome
202,Bye,bye
203,Task Finished!,
204,,
205,A3KF6O09H04SP7,
206,"Hi, I am here to help you look for a movie trailer",Thanks.  I love dramas that have romance in them.
207,"Cool, I can definitely recommend a good one if you like drama. You should check out the movie Earthquake Bird. Its a great drama drama movie",Can you recommend a pure drama with no thriller elements?
208,"A classic would be Bad Boys for Life. Its a great movie with Will Smith, a great job in that movie, he plays a great Will Smith.",[quit]
209,Thanks for chatting with me!,
210,,
211,A1ROEDVMTO9Y3X,
212,Hey there! I am here to help you look for a movie trailer.,I am looking for a comedy
213,Nice! What is the last comedy movie you watched?,home alone yesterday
214,Oh! Thats a great movie. What did you like about it?,it makes you laugh
215,Do you like a lot of comedy movies?,yes
216,Do you like older comedy movies?,yes
217,Have you seen the newest Home Alone 3?,yes i did 
218,Its definitely hilarious! I really think it will make you laugh.,can you recommend a movie 
219,I really enjoyed the movie Home Alone 2: Lost in New York.,accept
220,Thanks for chatting with me!,
221,,
222,A2J51BI7XS5ZYU,
223,:Hey there! Im here to help you find a movie trailer to watch!,Great! What you have in store today?
224,Im looking for a movie to watch. What kind of movies do you like?,I like comedies
225,What are some of your favorite movies?,"Liar Liar, Toc Toc."
226,"Those are great movies! Have you ever watched the movie "" Like a Boss?"" I havent seen that one yet.",no. [accept]
227,I havent seen it yet. Ive heard great things about it. It looks really good and it has some great actors and actresses.,[accept]
228,Thanks for chatting with me!,
229,,
230,A3TS15DY3N8JHE,
231,Hello! Im here to help you looking for a movie trailer,ok. i prefer sci-fi and horror
232,Do you have any recommendations for me?,you should watch Silent Hill
233,Yes I have seen that one. It was a great movie.,What did you like best?
234,I like horror but also horror and I love horror and horror.,What about horror?
235,I think the movie has great actors in it!,It really does. Every single one of them is great
236,Thats a great recommendation. Do you have any other recommendations?,You should watch Cloverfield
237,I love it. I havent seen it in a while but I love the Antlers series.,I dont know that series
238,I think you would really like it. There is a sequel called Zombieland: Double Tap.,accept
239,Thanks for chatting with me!,
240,,
241,A1G187YBG0DVMQ,
242,Hello! I am here to help you look for a movie trailer!,Oh good. Are there any for documentaries?
243,Do you want to watch a movie trailer with the theme of Emily?,What is it about?
244,"It is about ""When a younger girl called Emily Rose dies, everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death. The priest is arrested on suspicion of murder. The trial begins with lawyer Erin Bruner representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.""",Sounds interesting. What type of movie is it?
245,It is a documentary based on the book Purge: A Re-Sell of the Catholic Church (2017);,Nice! I will have to watch that.
246,It is a movie about the Purge. The book is based on true stories about the purge.,accept
247,Thanks for chatting with me!,
248,,
249,A2Y87M8V0N1M6P,
250,"Hi, I am here to help you look for a movie trailer.",hi
251,Do you like action movies?,ya
252,Have you seen The Irishman?,yes
253,Midway is a great movie that is a great one to see.,nice one
254,If you are into The Irishman movies I would suggest watching the trailer for that movie.,ok
255,I think you would really like this movie. It has great biography and it has a great cast.,quit
256,Thanks for chatting with me!,
257,,
258,A1C9ZHH1PV21PG,
259,Hello! I am here to help you look for a movie trailer.,okay
260,What kind of movies do you like to watch?,I like comedy movies
261,What is the last comedy movie that you watched?,Grown ups
262,Nice! Do you like Adam Sandler? Who is your favorite actor/actress?,Yes I like Adam. I also like Jack black
263,"Okay, I think you would really like Like a Boss . It is about ""Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel."" Adam Sandler plays a lead role in the new Bad Boys for Life. It also stars Adam Sandler  .",[accept]
264,Thanks for chatting with me!,
265,,
266,A2JDYN6QM8M5UN,
267,Hello!,Hello friend!
268,I am here to help you look for a movie trailer.,Great! I look forward to hearing your reccomendations!
269,What type of movies do you like to watch?,Action and scifi movies
270,I would recommend The Irishman.,Accept
271,Great! What did you like about it?,I like that its an action movie and I really do like action movies
272,I agree. I like the sci-fi movies too. Have you seen Avengers: Endgame?,Yes and I love it
273,I think you will really like it. It has a very good cast.,Accept
274,I would also recommend watching Avengers: Infinity War. Its got great actors and a great story.,Accept
275,I think you will really enjoy it.,Thanks
276,No Problem.,Accept
277,I hope you enjoy the trailer.,[Accept]
278,No Problem.,Quit
279,Thanks for chatting with me!,
280,,
281,A34CPKFZXBX1PO,
282,"Hello, I am here to help you look for a movie trailer.",How about a horror film with a famous movie star in it?
283,"So, are you interested in a horror or action movie that you might be interested in?","Horror only, for now."
284,"Ok, great! What was the last horror movie that you saw?",The forest
285,That was really good. Its a bit like Antlers but with a different story.,Great.  So can you recommend a good horror movie thats playing now?
286,Underwater. Its a good action with good action.,[exit]
287,"You should watch it, its a very good horror movie.",[accept]
288,Thanks for chatting with me!,
289,,
290,A2TJBRLYCPMTNH,
291,Hi there! How are you today?,i am finee. how are u?
292,Im doing good. Im here to help you look for a movie trailer to watch. What kind of movies do you like?,yes i like comedy movies
293,I love comedy movies too. What was the last comedy movie you watched?,small comedy
294,That was a great movie. What is your favorite genre?,thank u
295,Ill recommend a movie trailer for you. So would you like to watch that?,yes
296,"Ok, I have a few options. Let me know how you like it.",yes like it
297,What is your favorite movie genre?,comedy movie
298,I loved Like a Boss with Rose Byrne. Would you like to watch that movie trailer?,yes
299,Great! I have selected a movie trailer you may want to watch.,yes
300,Would you like to watch that movie trailer?,yes
301,"Ok, Im happy to help. Would you like to watch the movie trailer for Onward.",like
302,Great! I hope you enjoy the movie.,thank u
303,Youre welcome. Hope you enjoy the movie.,thank u
304,Have a great day!,thank u
305,Youre welcome. Enjoy!,thank u sme to u
306,Have a great day!,ok
307,"Im sorry, Im not able to help. I am trying to help you look for a movie trailer.",its ok
308,"Im sorry, Im not able to help. Im trying to help you look for a movie trailer.",its ok
309,"Ok, Im going to recommend one for you.",ok
310,Im happy to help you look for a trailer.,ok thank u
311,Youre welcome. Enjoy your day.,thank u
312,Task Finished!,
313,,
314,A107RJSS561Y7R,
315,Hello. I am here to help you looking for a movie trailer.,suggest me adventure movie
316,What types of movies do you enjoy watching?,adventure
317,Have you seen the movie The Irishman?,accept
318,Thanks for chatting with me!,
319,,
320,A3KF6O09H04SP7,
321,:Hello! Im here to help you find a movie trailer.,ok
322,Do you like movies that are like movies?,what do you mean by movies that are like movies?
323,Have you seen any good movies lately?,"yes, The mechanic"
324,I love Joaquin Phoenix. Do you like him or do you like other actors?,I love him too
325,Do you like movies with Joaquin Phoenix?,"yes, although I am not very familiar with him"
326,I would recommend The Gentleman if you like that movie. Its very well made and has a good story line.,I will definitely look for it
327,"If you like him, I think you would like The Gentleman if you like movies.",I like him and I like movies
328,Have you heard of Like a Boss?,"no, only baby boss"
329,"It is an animated movie, and has a great cast of actors.",who is the main actor?
330,"The plot is like this: ""Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.""",sounds like a movie I could love 
331,"I think you would really like this movie. If you like movies with comedy in general, you might also enjoy Onward.",I love drama with comedy
332,I also recommend The Dangerous mix. It has Tom Holland.,I love Tom Holland. I have also watched the Dangerous mix
333,"Awesome, I think you will enjoy it. Its a great film, and also has a good storyline.","yes, its great"
334,You will also enjoy Wolf.,tell me about it
335,"""A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belforts autobiography.""",sounds like my kind of movie
336,Great! You should enjoy it. Enjoy!,Enjoy
337,Good bye.,goodbye
338,You are welcome!,quit
339,Thanks for chatting with me!,
340,,
341,A2NA6X1SON3KFH,
342,"Hi, Im here to help you look for a movie trailer.",hi
343,What type of movies do you like?,Action
344,"I love Eraser. I love that movie, its a great adventure movie",I think I saw
345,I liked Action in the sense that it was adventure packed. What did you like about it?,Lots of violence
346,I recommend you watch the trailer for Action. I think its a good movie. It has a good cast of great actors.,I see.  Thanks
347,So would you like to watch this movie trailer?,Sure
348,"Okay great! Are you looking for a movie trailer thats more of a adventure or adventure but at the same time, any kind?",Any kind
349,"Friends and Family would be perfect for you. If you like adventure and adventure and want a similar movie, I would recommend Relax... Its Just Sex. Its a great adventure movie.",I dont know about that one
350,I think you will really like this movie. Its a great movie that stars Mitchell Anderson. It also stars Terrence T.C. Carson.,I see.  Maybe I will try
351,Sounds great!,Thank you
352,Youre welcome!,Anything else
353,Thank you for chatting with me today!,Thank you
354,Youre welcome. Have a wonderful day!,You do the same
355,You too!,Thank you so much
356,Youre welcome.,Okay.  Thanks
357,Bye!,Bye bye
358,Bye!,Goodbye
359,Goodbye.,Okay
360,Im sorry. Have a wonderful day.,You too
361,Bye.,Bye bye for now
362,Bye.,Bye
363,Task Finished!,
364,,
365,A15VRRHQCLJHC8,
366,Hello! I am here to help you find a movie trailer to watch!,nice
367,Do you prefer animated movies or more modern movies?,quit
368,Thanks for chatting with me!,
369,,
370,AE2SPP0FXRQA1,
371,"Hello, how are you today?",I am good how are you
372,"I am doing well, thanks for asking. I am here to help you find a movie trailer. What kind of movies do you like?","i like all kinds, but tonight I want to watch a documentary"
373,Awesome! I agree! Have you seen Emily?,no what is it about
374,"Its about ""When a younger girl called Emily Rose dies, everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death. The priest is arrested on suspicion of murder. The trial begins with lawyer Erin Bruner representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.""",awesome sounding. I will check it out thanks!
375,If you like the documentary and documentary crime I highly recommend A Beautiful Planet . Its about Daft Punk Unchained.,"I love daft punk, I will try it also thanks"
376,Great! You should definitely check it out. So you would like to watch the trailer?,yes!
377,I am going to send you the trailer for Tomato Red.,ok send it
378,"Awesome I am sure you will like it. But before we start, I would like to recommend Tomato Red.",accept
379,Thanks for chatting with me!,
380,,
381,A2NUGRVI6IEGN7,
382,"Hello, Im here to help you look for a movie trailer",yes
383,What types of movies do you like?,quit
384,Thanks for chatting with me!,
385,,
386,A2VO8C41JJIQY9,
387,Hello! I am here to help you find a movie trailer.,hello
388,What kind of movies do you like?,"Action,  drama and thrillers"
389,"Ok, what is the last action you watched?",The departed. it was a great movie!
390,Have you seen Bad Boys for Life?,nope not yet but im planning on watching it
391,I would suggest watching the trailer for Knives Out.,oh is it an action movie 
392,I think you would enjoy the movie Avengers: Endgame.,i already watched it
393,I think you would also enjoy the movie Avengers: Infinity War.,i have watched all the avenger movies so suggest me something else
394,Assassins Creed is a action movie,i watched that one too
395,I think you would also like the movie Awaken.,oh sounds cool! 
396,"""A random group of people wake up on an Island where they are being hunted down.""",damn! sounds interesting
397,I think you would enjoy the movie.,yes i will watch its trailer 
398,You are quite going to enjoy it.,yeah i guess thanks
399,You are welcome!,accept
400,Thanks for chatting with me!,
401,,
402,A1KDT32ADI2J8U,
403,"Hi, I am here to help you look for a movie trailer.",So nice of you. Thanks. What movie do you recoomend
404,How do you feel about action movies?,Am not so interested.
405,Do you like to watch movies with The Irishman?,I like comedy movies. Can you recommend that type of movies
406,What is your favorite movie?,Scoob
407,"I like Scoob! as well, it is an action movie with action.",accept
408,Thanks for chatting with me!,
409,,
410,A2N9U74YIPDQ9F,
