,bot,human
411,"Hello, I am here to help you look for a movie trailer",oh great. what do you recommend?
412,Do you know what kind of movie trailers you would like to see?,science fiction would be great
413,I like action fiction too. I think I just watched The Irishman.,what is action fiction?
414,"""Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years."" He is searching for an answer to a puzzle.",is this what the irishman is about?
415,"""A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes."" Marriage Story stars Merritt Wever.",what movie is that from?
416,"It is about ""A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes."" It also stars Merritt Wever. It is a sci-fi sci-fi.",what movie do you recommend?
417,Marriage Story is about a young boy who is a psycho possessed by a god. He must find a way to control his powers.,accept
418,Thanks for chatting with me!,
419,,
420,A16OH8XXYY0AAS,
421,"Hello, I am here to help you look for a movie trailer",accept
422,Thanks for chatting with me!,
423,,
424,A272X64FOZFYLB,
425,Hi! I am here to help you look for a movie trailer!,horror movies
426,Okay. What was the last horror movie you watched?,conjuring
427,That was a good movie. What was the last movie you watched?,accept
428,Thanks for chatting with me!,
429,,
430,A2VFEDAK5C1E1O,
431,Hello. How are you today?,Im fine and you?
432,I am fine. I am here to help you look for a movie trailer.,thanks for your help in advance
433,Great. What kind of movies do you like to watch?,Action movies
434,I know some movies that you may enjoy. Have you ever seen Avengers: Endgame?,yeah its an interesting movie
435,Nice. Have you seen the trailer for Avengers: Infinity War?,I would love to see that
436,"If you like action movies, you may like Assassins Creed. The film is about ""Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers hes a descendant of the secret Assassins society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day."" It has Michael Fassbender in it, and the director has said he is interested in seeing it",Wow I would love to see the movie
437,It is a great movie for sure. You can check out the trailer. The movie is very Michael Fassbender interesting in it.,accept
438,Thanks for chatting with me!,
439,,
440,A2V27A9GZA1NR2,
441,Hello! I am here to help you look for a movie trailer!,no
442,What kind of movies do you like to watch?,quit
443,Thanks for chatting with me!,
444,,
445,A1PAMVTKGCXSWQ,
446,"Hello, I am here to help you look for a movie trailer",Hi
447,What types of movies do you like?,"Action, comedy"
448,Nice! I like those too! What is the last action movie you watched?,"The Outpost, on netflix"
449,What is your favorite movie of all time?,probably avatar
450,Avatar is my favorite movie! I would recommend watching the movie trailer for that movie.,Avatar is my favorite movie too!
451,I think you will enjoy it.,"Oh I know I will, but do you have a different suggestion?"
452,Ice Age is another good movie. It has a good story and is a great action movie.,"Oh yeah, that is a good movie"
453,I think you will enjoy that movie. I hope you enjoy the movie!,accept
454,Thanks for chatting with me!,
455,,
456,A36W9YOEXLJLBT,
457,"Hello, I am here to help you find a movie trailer.","Great. Id like to see a sci-fi film, please."
458,What are your favorite sci-fi films?,Star Wars.
459,What is the last adventure movie you watched?,Indiana Jones!
460,Do you prefer sci-fi movies?,"Yes, I do."
461,"I would recommend watching Indiana Jones and the Temple of Doom is a wonderful movie, I highly recommend it.",Ive seen that one. Do you have any other suggestions?
462,Another great movie that I would recommend is Die Hard 2. The story of a space station that lost contact with Earth and was soon attacked by aliens. It is a very interesting movie.,[accept]
463,Thanks for chatting with me!,
464,,
465,A2JQI6KKCE0O9V,
466,"Hello, how are you today?",yeah good.
467,I am here to help you look for a movie trailer. What kind of movie genres do you enjoy watching?,comedy movies
468,I love comedy movies too. What was the last comedy movie that you watched?,superbad
469,Have you seen Anchorman: The Legend of Ron Burgundy yet? I like Will Ferrell. Did you like it?,still am not watched it.
470,There is another film that I would recommend if you like comedy movies. What did you like about Anchorman: The Legend of Ron Burgundy?,quit
471,Thanks for chatting with me!,
472,,
473,A16OH8XXYY0AAS,
474,Hi! Im here to help you find a movie trailer to watch. What kind of movies do you like?,action
475,Nice! What is your favorite movie?,avengers
476,Great! Have you seen Captain Marvel?,"yes, what aabout you"
477,"It is an action/adventure movie, but it has a very specific twist. It is a great movie. I highly recommend watching the trailer for Action.",accept
478,Thanks for chatting with me!,
479,,
480,A3S6OLEO6D950C,
481,"Hello, I am here to help you look for a movie trailer.",quit
482,Thanks for chatting with me!,
483,Do you like action movies?,quit
484,Thanks for chatting with me!,
485,,
486,A30Q56QAGVOHRP,
487,"Hi, I am here to help you look for a movie trailer",ok
488,Do you know what type of movie trailers you would like to see?,avengers
489,What is the latest adventure adventure movie that you watched?,quit
490,Thanks for chatting with me!,
491,,
492,A1WJ54G7U8B57Y,
493,"Hi there, I am here to help you looking for a movie trailer.","Hello, that is great. I will like horror movie recommendation"
494,What kind of movies do you like?,Horror movie
495,So you like action movies? Or just Joaquin Phoenix  .,"No, I like horror movie"
496,Did you see the new It or the original It?,Is that a movie name?
497,"Its called Antlers, which is a action movie. Its a great movie.","Really, Antlers is an action movie, are you sure?"
498,"Yes, Ive seen Antlers it was good. It was a great movie, and definitely kept you engaged.",Who are the actors?
499,"The plot is like this: ""A young teacher discovers that her troubled students father and younger brother harbor a deadly supernatural secret. Taking the boy into her care, the teacher must fight for their survival against horrors beyond imagination.""",That is cool. That means it is a horror movie.
500,"Yes, I agree, I liked that one too. So you like Underwater.",Accept
501,I hope you enjoy it.,"ok, thanks for your time"
502,No problem. Have a nice day.,action
503,You too.,accept
504,Thanks for chatting with me!,
505,,
506,A2D2JX8R0QU9G4,
507,"CHATBOT ERROR! Sorry, please click complete chat",
508,,
509,A2YCMT5BPA0AG9,
510,Hi! How are you doing today?,"Good, how are you?"
511,"Good! Im doing well, thanks for asking! I am here to help you find a movie trailer!",That sounds good
512,Do you know what kind of movies you would be interested in seeing?,How about science fiction
513,Whats the last movie you watched?,A bridge too far
514,"I dont think Ive seen that one yet, but I would highly recommend it! Its a great movie that came out in the late 2000s.",It actually came out in the 60s
515,Do you have a favorite actor or actress?,I like Johnny Depp
516,Me too! Its a great movie thats a comedic relief to be honest.,Hes an actor
517,Have you ever seen Fantastic Beasts: The Crimes of Grindelwald? Its definitely a great sci-fi movie thats got a bit of everything going for it!,I have seen it
518,Great! You should also check out Joker.,"I have seen Joker also, it was a great drama movie"
519,"Oh yes! Its a very engaging film, and has a great cast!",Yes Joaquin Phoenix did a great job
520,"CHATBOT ERROR! Sorry, please click complete chat",
521,,
522,A2C2WXXKJOLCZ2,
523,"CHATBOT ERROR! Sorry, please click complete chat",
524,,
525,A16ST6GDZTN4AD,
526,"CHATBOT ERROR! Sorry, please click complete chat",
527,,
528,A292LG3R356V5,
529,"CHATBOT ERROR! Sorry, please click complete chat",
530,,
531,A20N1NK5X5S88F,
532,"CHATBOT ERROR! Sorry, please click complete chat",
533,,
534,A28JMHEQZ8276G,
535,"CHATBOT ERROR! Sorry, please click complete chat",
536,,
537,A1BZX5G4Q9AYTQ,
538,"CHATBOT ERROR! Sorry, please click complete chat",
539,,
540,ANBEBF6FLZFY3,
541,"CHATBOT ERROR! Sorry, please click complete chat",
542,"CHATBOT ERROR! Sorry, please click complete chat",
543,,
544,A198MSVO1VTAT5,
545,"CHATBOT ERROR! Sorry, please click complete chat",
546,,
547,AIQM86IRETAJN,
548,"CHATBOT ERROR! Sorry, please click complete chat",
549,,
550,A3KF6O09H04SP7,
551,"CHATBOT ERROR! Sorry, please click complete chat",
552,,
553,A1XJU3KQ7B3JWZ,
554,"CHATBOT ERROR! Sorry, please click complete chat",
555,,
556,A2615YW1YERQBO,
557,"CHATBOT ERROR! Sorry, please click complete chat",
558,,
559,AJXIC6Q5EM76P,
560,"CHATBOT ERROR! Sorry, please click complete chat",
561,,
562,A1I72NHC21347A,
563,"CHATBOT ERROR! Sorry, please click complete chat",
564,,
565,A3QXFWX1PVH5MJ,
566,"CHATBOT ERROR! Sorry, please click complete chat",
567,,
568,A2VO8C41JJIQY9,
569,"CHATBOT ERROR! Sorry, please click complete chat",
570,,
571,A2OPYRV3GLAPS1,
572,"CHATBOT ERROR! Sorry, please click complete chat",
573,,
574,A1BZX5G4Q9AYTQ,
575,"CHATBOT ERROR! Sorry, please click complete chat",
576,,
577,A1YZ0ETOCJO1B2,
578,"CHATBOT ERROR! Sorry, please click complete chat",
579,,
580,A16ODTIYV32C4Y,
581,"CHATBOT ERROR! Sorry, please click complete chat",
582,,
583,A3AUCQUUA07HCV,
584,"CHATBOT ERROR! Sorry, please click complete chat",
585,,
586,A2Y87M8V0N1M6P,
587,Hello! Im here to help you look for a movie trailer!,Suggest me a comedy ovie triler
588,What is the last comedy movie you watched?,Nemo
589,That was a great movie. Do you like animated comedy movies?,yes tell me
590,Would you like to watch a trailer for a movie called Cats Dont Dance? Its a childrens movie that won 6 Oscars.,accept
591,Thanks for chatting with me!,
592,,
593,A2DN9LTO4MC9OQ,
594,"Hello, I am here to help you look for a movie trailer.",ok
595,What type of movies do you like?,ok
596,Great. What is your favorite movie genre?,ok
597,Do you like action or action?,ok
598,Great! Have you ever seen The Irishman?,ok
599,Awesome! Have you seen Midway?,ok
600,"The plot is like this: ""The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.""",ok
601,"I think you would enjoy this movie. It has Rebel Leia, but it also has Patrick Wilson, and Luke Evans  .",ok
602,I think you will enjoy it. Its not like a traditional action movie but it is very exciting.,okk
603,I hope you enjoy the trailer!,ok
604,thank you,ok
605,thank you for letting me help you,ok
606,have a great day,ok
607,good bye,ok
608,have a great day,ok
609,bye,ok
610,have a great day,ok
611,bye,ok
612,bye,ok
613,ok,ok
614,bye,take care
615,Task Finished!,
616,,
617,A1BZX5G4Q9AYTQ,
618,Hello! Im here to help you find a movie trailer.,hi
619,Do you know what kind of movie trailers you would like to see?,drama
620,Okay. What are some of your favorite genres?,quit
621,Thanks for chatting with me!,
622,,
623,AK66O9WD3XN29,
624,Hello! I am here to help you find a movie trailer to watch.,Nice tell m some action movies
625,What are your favorite action movies?,Where I can have Robert Downy Jr. in it
626,I recommend Avengers: Endgame its one of the best Robert Downy Jr. movies. Are you looking for something similar?,[accept]
627,Thanks for chatting with me!,
628,,
629,A394JO4NEPCY3M,
630,"Hi, I am here to help you look for a movie trailer!",good I like horror movies
631,Have you seen the new Antlers movie?,no where can I find the trailer
632,It is out in theaters now and is a great horror movie!,[accept]
633,Thanks for chatting with me!,
634,,
635,A39XIQCFSCNHFU,
636,Hello! How are you today?,"good, how are you?"
637,Im doing great! What kind of movies do you like?,Im in the mood for an action film
638,Have you seen the trailer for Avengers: Endgame? Its a really good movie!,"Ive watched it already, have any other ideas?"
639,"Yeah, the Avengers: Infinity War is a really good movie. If you like action and action movies, you should try the trailer for Gods of Egypt.",would you recommend Gods of Egypt?
640,"If you like action and action movies, you should try Assassins Creed . Have you seen Ready Player?",accept
641,Thanks for chatting with me!,
642,,
643,ADGREXTAORHCE,
644,hi how are you doing?,"good, how are you?"
645,doing well thank you for asking,of course!
646,what kind of movies do you like to watch?,mostly horror and psychological thriller
647,what was the last movie you watched,Mulholland Drive
648,have you seen any good movies lately?,I just told you
649,Blue Velvet. It has a good remake and it is a very scary movie,I didnt know there was a remake
650,i am going to try to send you a recommendation for the movie,okay
651,you will definitely like it.,what is it?
652,"""The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.""",[accept]
653,Thanks for chatting with me!,
654,,
655,A2V27A9GZA1NR2,
656,"Hello, I am here to help you look for a movie trailer.",Hello
657,Do you know what type of movie trailers you would like to see?,Yes
658,What are some of your favorite types of movies?,action
659,Do you know what type of movie trailers you would like to see?,action films
660,Have you seen the new Avengers: Endgame movie trailer?,yes
661,That was a very good movie that was directed by Robert Downey Jr.. Robert Downey Jr..,quit
662,Thanks for chatting with me!,
663,,
664,A2OPYRV3GLAPS1,
665,"Hello, how are you today?",Im good. How are you?
666,"I am doing great, thanks for asking. Do you like to watch movies?",I do! I watched Conair last night. Have you ever seen that?
667,"CHATBOT ERROR! Sorry, please click complete chat",
668,,
669,A231KDND93GAVX,
670,"Hello, I am here to help you look for a movie trailer.", recommend a movie
671,What kind of movies are you interested in?,Horror
672,Antlers is a good horror movie.,thank you
673,You are welcome. Have you seen Underwater?,accept
674,Thanks for chatting with me!,
675,,
676,ACV75G0ZN7U70,
677,"Hi, I am here to help you look for a movie trailer",What do you recommend?
678,Do you want a movie that will make you want to see a movie trailer?,What do you mean by that?
679,"It is a great genre of movie, a great movie.","Im confused, what do you mean?"
680,"I really like Like a Boss movies, I watched it with my kids and they loved it.",Is it funny?
681,"Yes it is, it is great story line, I will recommend you watch it.",accept
682,Thanks for chatting with me!,
683,,
684,AVXEDARJC5HLU,
685,Hello!,HI
686,Can I help you find a movie trailer to watch?,Please
687,What type of movies do you usually enjoy watching?,Comedies
688,Cool! Do you like comedy movies or more modern ones?,Modern comeies
689,Do you like animated movies?,Not really
690,Have you seen City Lights?,No
691,Its a great movie about a young boy who grows up on a farm.,Sounds good
692,I highly recommend watching it if youre into comedy movies!,Ok great
693,I highly recommend watching Like a Boss for sure.,accept
694,Thanks for chatting with me!,
695,,
696,A25CZJEFKXF4UV,
697,"Hello, I am here to help you look for a movie trailer.",hii
698,What kind of movies do you like?,comedy
699,Have you seen Like a Boss?,no
700,What about Like a Boss? I love that movie.,oh super
701,"Trolls World Tour is one of my favorites, and it has a great cast.",I recommend you game nights
702,You are going to love that movie!,ok
703,Another great one I would recommend is Tag. It has Ed Helms  .,quit
704,Thanks for chatting with me!,
705,,
706,A2Y87M8V0N1M6P,
707,Hello! I am here to help you look for a movie trailer!,yes
708,What kind of movies do you like?,action
709,I love action movies! What is the latest movie that you have watched?,ok
710,Are you looking for a movie trailer with a similar story or something different?,good
711,Have you seen Avengers: Endgame?,yes
712,That is a great movie that is also a action movie!,good
713,I am sure you have seen it! Have you seen Avengers: Infinity War?,thank you
714,"I think you will really like this movie, it is based on a novel by the same author.",good
715,Have you seen the movie Assassins Creed?,yes
716,I think it is a great movie that is based on a true story of how the Iron Man character became the next hero.,good
717,I would also like to recommend that movie trailer.,thank you
718,No problem!,yes
719,If you liked the movie you will enjoy the movie Awaken. It has a great story line that is also a great action.,goog
720,Thank you!,ok
721,Have a great day!,ok
722,You too!,ok
723,Have a great day!,ok
724,Have a great day.,ok
725,Have a great day!,thank you
726,Youre welcome!,good
727,Enjoy!,welcome
728,Task Finished!,
729,,
730,A3FGT6EU39C6S4,
731,Hi there! I am here to help you find a movie trailer to watch!,accept
732,Thanks for chatting with me!,
733,,
734,A1L92Y6VBTRFP5,
735,"Hi there, I am here to help you look for a movie trailer.",ok
736,What type of movies do you like to watch?,comedy
737,Thats great! What was the last comedy you watched?,step brothers
738,"Oh, that is a great movie. Have you watched Anchorman: The Legend of Ron Burgundy?",yes
739,Another great movie I would recommend is Talladega Nights: The Ballad of Ricky Bobby. The humor is great.,accept
740,Thanks for chatting with me!,
741,,
742,A16OH8XXYY0AAS,
743,"Hello, how are you doing today?",hi
744,"I am great, I am here to help you look for a movie trailer. What kind of movies do you like?",comedy movies
745,"I like comedy movies too, I recently saw the newest Like a Boss. It was a really funny movie, the characters and the humor were amazing.",yeah i  loved it
746,"I am also a big fan of Tom Holland, he is a great actor. Have you seen Onward?",yes
747,I hope you enjoy it. What is your favorite movie of his?,interesting story
748,Have you seen Trolls World Tour?,quit
749,Thanks for chatting with me!,
750,,
751,A34CPKFZXBX1PO,
752,"Hey there, Im here to help you look for a movie trailer","Ok, cool."
753,What kind of movies do you like?,Action and comedy mostly
754,Those are both great genres! What was the last movie you watched that you enjoyed?,Jurassic Wolrd
755,"Ive seen that one. I enjoyed it. Its a bit of a different take on the story, but still very entertaining","Yeah, I like it better than the original Jurassic movies."
756,"I agree. I had seen those too, but I think the first was better.","yeah, same. "
757,I would recommend Dawn of the Planet of the Apes.,"I have been wanting to watch that, actually"
758,"Its a little different, but its a good movie. Andy Serkis a great martial artist.",[accept]
759,Thanks for chatting with me!,
760,,
761,A3FGT6EU39C6S4,
762,Hello! Im here to help you look for a movie trailer.,thank you. 
763,What is the last movie you watched?,brooklyn
764,Have you seen Dark Waters?,no.
765,Its pretty interesting. The story line is very interesting. What did you like about it?,I didnt see Dark Waters. What is it about?
766,"Its about ""A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the worlds largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.""",That sounds interesting. Who are the main actors?
767,"Anne Hathaway, 5, 6, 7, 8, 9, 10, 11, 12, 13, 13, 15, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 90, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105",what are all of the numbers?
768,"CHATBOT ERROR! Sorry, please click complete chat",
769,,
770,A3QSFE6GKO157S,
771,"CHATBOT ERROR! Sorry, please click complete chat",
772,,
773,AZ8JL3QNIPY4U,
774,"Hello there, how are you doing today?",hi. I am fine. How are you too?
775,"Good, thanks for asking! I am here to help you look for a movie trailer! What kind of movies do you like?",I enjoy horror movies a lot.
776,Do you have a favorite actor or actress?,I like Samuel Jackson.
777,"Have you seen the new horror movie, Jumanji?",I Jumanji a horror movie?
778,I like Antlers also! It is a really great horror movie.,I havent seen that
779,What other movies have you seen recently? Would you like to see a trailer of a new movie?,I saw Old guard recently.
780,"I think it is a great movie, and if you like horror you will love it.",accept
781,Thanks for chatting with me!,
782,,
783,A3C8JI69WPTKWH,
784,Hello there! I would like to help you look for a movie trailer!,ok great!
785,Do you have any specific genre in mind that youre interested in?,How about documentaries?
786,Have you seen Emily?,No I havent. I was thinking something about food
787,"That was a great movie! You should definitely watch the movie, its so very documentary packed!",I havent heard of it. How about a documentary about food?
788,A Beautiful Planet is about a couple who was caught on camera eating meat at the slaughterhouse. They ended up losing their entire income.,Oh my god. Im vegan and I dont want to watch people eating meat in a slaughterhouse!
789,"I cant find the trailer, do you want to watch it?",Absolutely not!
790,I would also highly recommend watching Back in Time.,What is that about?
791,The couple had to survive by sharing a lot of food.,Ok sure. That sounds interesting.
792,Would you like to watch the trailer?,Yes do you have a link?
793,"I recommend checking out the trailer for Batkid Begins, it is based off of a book of documentary that was recently released.",What about Back in time?
794,"The plot is like this: ""On November 15, 2013, the world came together to grant one 5-year-old leukemia patient his wish to be Batman for a day. ""Batkid Begins"" looks at why and how this phenomenon took place, becoming one of the biggest ""good news"" stories of all time.""",I see. I think Ill stick with Back in time.
795,"The plot is like this: ""On November 15, 2013, the world came together to grant one 5-year-old leukemia patient his wish to be Batman for a day. ""Batkid Begins"" looks at why and how this phenomenon took place, becoming one of the biggest ""good news"" stories of all time.""",OK. Thanks for your help.
796,Youre welcome! Hope you enjoy it!,[quit]
797,Thanks for chatting with me!,
798,,
799,A17GHP8L89ZSD5,
800,hello! I am here to help you find a movie trailer to watch!,hi
801,What kind of movies are you interested in?,action
802,what was the last adventure movie that you watched?,deep blue sea
803,Do you like adventure movies with a strong female lead?,quit
804,Thanks for chatting with me!,
805,,
806,A2LV5432PV1S39,
807,"CHATBOT ERROR! Sorry, please click complete chat",
808,,
809,A33DJF06UZXG3Y,
810,"CHATBOT ERROR! Sorry, please click complete chat",
811,,
812,A8C3WNWRBWUXO,
813,"CHATBOT ERROR! Sorry, please click complete chat",
814,,
815,A1ROEDVMTO9Y3X,
816,"CHATBOT ERROR! Sorry, please click complete chat",
817,,
818,A3NN2AK1DFDNDU,
819,"CHATBOT ERROR! Sorry, please click complete chat",
820,,
821,ASVRLMDNQBUD9,
822,"CHATBOT ERROR! Sorry, please click complete chat",
823,,
824,A2QZU6VOIL30J3,
825,"CHATBOT ERROR! Sorry, please click complete chat",
826,,
827,A10249252O9I20MRSOBVF,
828,"CHATBOT ERROR! Sorry, please click complete chat",
829,,
830,A2XM0NXWJSURRX,
831,"CHATBOT ERROR! Sorry, please click complete chat",
832,,
833,A3QXFWX1PVH5MJ,
834,"CHATBOT ERROR! Sorry, please click complete chat",
835,,
836,AMELYCC59JKB0,
837,"CHATBOT ERROR! Sorry, please click complete chat",
838,,
839,A2615YW1YERQBO,
840,"CHATBOT ERROR! Sorry, please click complete chat",
841,,
842,A2UO3QJZNC2VOE,
843,"CHATBOT ERROR! Sorry, please click complete chat",
844,,
845,A1PAMVTKGCXSWQ,
846,"CHATBOT ERROR! Sorry, please click complete chat",
847,,
848,ARYL3C6N9SVV1,
849,"CHATBOT ERROR! Sorry, please click complete chat",
850,,
851,A2NO3OTBZYY43Z,
852,Hello! I am here to help you look for a movie trailer!,I want to see some action movie
853,What is your favorite genre?,Just told you Action
854,Oh my goodness. Have you ever seen the new Avengers: Endgame movie?,no how is that?
855,It is an amazing movie! Its a great movie for you to see as well.,[accept]
856,Thanks for chatting with me!,
857,,
858,A8C3WNWRBWUXO,
859,Hi! I am here to help you find a movie trailer.,"Good, I need a good recommendation."
860,What type of movies do you like?,"I really intelligent Drama, something that makes you think."
861,What is the last movie you watched?,Prestige.
862,What was the last movie that you watched?,The Presige.
863,"If you like action movie, you will really enjoy the movie Bloodshot . Have you seen the movie The Turning?",Tell me about The Turning.
864,"The movie is about ""A young woman quits her teaching job to be a private tutor (governess) for a wealthy young heiress who witnessed her parents tragic death. Shortly after arriving, the girls degenerate brother is sent home from his boarding school. The tutor has some strange, unexplainable experiences in the house and begins to suspect there is more to their story.""",accept
865,Thanks for chatting with me!,
866,,
867,A1V2H0UF94ATWY,
868,"Hello, I am here to help you look for a movie trailer",OK. What do you recommend?
869,What type of movies do you enjoy watching?,Horror and sci-fi. 
870,Do you prefer horror or more realistic or more current?,Horror. 
871,Have you seen the new The Irishman movie? It is a newer horror sci-fi action movie.,"Yes, I’ve seen that. That’s more of a crime/drama film. "
872,"Cool, I cant wait to see the trailer. What about the new Midway movie?","That was is good, but again not a horror film but a war film. "
873,It stars Patrick Wilson and is directed by Patrick Wilson. It is a pretty scary movie with lots of horror.,OK. 
874,I would recommend watching the trailer and then watching the movie trailer. It has a 7.3 rating on rotten tomatoes and 20 minutes of screen time.,I’ve already seen it. Thanks. 
875,"You are welcome, I am glad you are looking for a movie trailer.",[quit]
876,Thanks for chatting with me!,
877,,
878,A2615YW1YERQBO,
879,"Hello, I am here to help you look for a movie trailer.",Hi there. All right. I like comedies!
880,What is the latest comedy that you have seen?,"I forgot. uh...Steve Martin, Martin Short?"
881,Have you ever heard of Like a Boss?,"no, tell me"
882,I would highly recommend watching that movie. It is a great movie with Martin Short in it.,sounds great
883,I would also highly recommend watching Onward.,[accept]
884,Thanks for chatting with me!,
885,,
886,A272X64FOZFYLB,
887,":Hi, how are you?",I am doing excellent today. I hope you are too.
888,Im good. What kind of movies do you like?,I love space exploration and superhero movies. Do you know of any highly rated movies you could tell me about?
889,I love Avengers: Endgame movies. Have you seen any movies with Robert Downey Jr.?,He is one of my favorite actors. I loved him in the Iron Man movies!
890,"Yes, he is a great actor. What do you think of the movie Avengers: Endgame? It is an excellent movie.",I saw it when it came out! I havent seen it since then though. What do you like about it?
891,"I like the movie, it is about ""After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos actions and restore order to the universe once and for all, no matter what consequences may be in store.""",It is no doubt full of action and surprises.
892,"I also think you would like this movie, it has a great storyline.",I really like this recommendation. Thanks!
893,You are welcome. Have you seen the movie Avengers: Infinity War?,[accept]
894,Thanks for chatting with me!,
895,,
896,A263Y9ZPYSSTB9,
897,"Hi there, I am here to help you look for a movie trailer","Hi, I like thriller movies"
898,What is the last thriller movie that you watched?,Kingsman
899,Oh I love that one! Do you like thriller movies with a good story or do you like movies that are more action movies?,thriller movies that are more action-like
900,I like thriller movies as well. What is your favorite genre of movie?,thriller 
901,thriller movies are great to watch. I would recommend Switchblade Sisters.,what is it about?
902,"CHATBOT ERROR! Sorry, please click complete chat",
903,,
