,pre_kind_of_movies,pre_favorite_movies,pre_favorite_actors,pre_favorite_directors,blue_recommend_,blue_preference,blue_consistent,blue_natural,blue_engaging,blue_persuasive,blue_sociable,blue_boring,cyan_recommend_,cyan_preference,cyan_consistent,cyan_natural,cyan_engaging,cyan_persuasive,cyan_sociable,cyan_boring,yellow_recommend_,yellow_preference,yellow_consistent,yellow_natural,yellow_engaging,yellow_persuasive,yellow_sociable,yellow_boring,green_recommend_,green_preference,green_consistent,green_natural,green_engaging,green_persuasive,green_sociable,green_boring,red_recommend_,red_preference,red_consistent,red_natural,red_engaging,red_persuasive,red_sociable,red_boring,survey_4_kind_of_movies,worker_id,blue_length,cyan_length,yellow_length,green_length,red_length
0,"['Horror movies', 'Action movies', 'Sci-fi movies']","Halloween
Nightmare on Elm Street
Lethal Weapon
Legally Blond
Blair Witch","Owen Wilson
Keanu Reeves
Denzel Washington
Will Smith","John Woo
John Carpenter
James Cameron",Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,3,3,3,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,5,3,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,3,3,4,2,3,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,3,4,4,2,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,5,5,3,5,1,"['Horror movies', 'Action', 'Sci-fi movies']",A3RQN5RZD1N2KP,9,8,15,10,9
1,"['Action movies', 'Comedy movies', 'Sci-fi movies']",Harry potter and the deathly hallows part 2,chris hemsworth,George lucas,Yes,Blue Bot recommended a movie and it fits my personal preferences.,2,1,2,1,1,5,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,3,2,3,2,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,4,4,4,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,4,3,3,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,4,4,3,4,"['Action', 'Comedy movies', 'Sci-fi movies']",A39VDI1CVOMMIN,22,5,6,6,5
2,"['Sci-fi movies', 'Drama movies']","Sunshine
Batman Begins
Inception
Prestige",Christian Bale,Michel Gondry,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,3,3,2,3,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,2,2,2,3,3,No,Green Bot didn't recommend a movie.,1,1,1,1,2,4,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,2,2,4,3,2,"['Sci-fi movies', 'Drama movies']",A8C3WNWRBWUXO,8,17,8,9,9
3,"['Action movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']","The Godfather, Rocky, Star Wars ","Harrison Ford, Denzel Washington, Will Ferrel ",Stanley Krubrick,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,5,3,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,5,5,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,2,3,3,2,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,4,4,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,"['Action', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A15VCKELIEEPJN,13,13,16,12,12
4,"['Action movies', 'Comedy movies', 'Mystery movies', 'Horror movies']",once upon a time in hollywood,johnny depp,phil,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,3,3,3,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,5,3,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,5,3,4,2,['Comedy movies'],A1ROEDVMTO9Y3X,4,7,5,5,22
5,"['Action movies', 'Mystery movies', 'Comedy movies', 'Sci-fi movies']","Interstellar, Hackers, Star Wars","Sean Connery, Robert Redford",James Cameron,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,4,3,4,2,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,4,5,4,3,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,2,4,1,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,4,2,1,4,2,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,1,3,4,4,4,1,"['Action', 'Comedy movies', 'Sci-fi movies', 'Mystery movies']",A1K8QNLYYYX21W,8,11,11,10,11
6,['Action movies'],horor movies,ajith,sasikumar,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,2,4,2,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,2,3,2,4,2,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,4,2,4,3,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,2,4,2,3,2,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,4,1,4,2,3,"['Comedy movies', 'Horror movies', 'Mystery movies', 'Action', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A2P065E9CYMYJL,23,22,22,22,22
7,"['Comedy movies', 'Mystery movies', 'Drama movies']",Inception,Leonardo Dicaprio,Christopher Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,4,5,4,4,1,No,Cyan Bot didn't recommend a movie.,2,2,2,2,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,3,4,5,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,2,2,4,3,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,3,4,4,3,2,"['Action', 'Comedy movies', 'Drama movies']",AQ9Y6WD8O72ZC,13,5,16,10,18
8,"['Mystery movies', 'Horror movies', 'Comedy movies']",Da-vince code,Johny deep,James Cameron,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,2,5,3,2,4,1,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,2,4,3,3,4,No,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,4,2,3,4,2,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,2,2,4,3,4,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,5,4,4,3,4,"['Horror movies', 'Mystery movies', 'Comedy movies']",A3VHNIFFP8Y9H7,15,16,8,4,16
9,"['Action movies', 'Mystery movies', 'Comedy movies']",Mission Impossible 4,Tom Cruise,Christopher Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,4,5,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,5,5,4,5,1,No,Yellow Bot didn't recommend a movie.,5,5,5,4,5,1,No,Green Bot didn't recommend a movie.,4,5,5,4,5,1,No,Red Bot didn't recommend a movie.,5,5,5,4,5,1,"['Action', 'Mystery movies', 'Drama movies']",A2OR46JV43TOJV,4,11,4,4,5
10,"['Action movies', 'Comedy movies', 'Documentary movies', 'Drama movies']",Princess Bride,John Cusack,Scorsese,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,2,3,3,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,1,1,2,3,3,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,1,1,1,1,3,1,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,1,1,1,1,3,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,2,3,2,3,3,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",AEF74ZYJTTEIA,7,8,13,14,13
11,"['Comedy movies', 'Drama movies', 'Action movies']",iron man,tony stark,joe russo,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,4,3,4,3,4,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,4,3,2,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,4,3,2,4,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,2,2,3,4,2,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,4,3,4,3,4,"['Comedy movies', 'Action', 'Drama movies']",A3U6IA3JUSFZ2M,22,2,2,9,22
12,"['Horror movies', 'Comedy movies']",Donnie Darko,Ryan Gosling,John Krasinski,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,3,4,4,4,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,5,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,5,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,3,3,2,4,4,"['Action', 'Horror movies']",AJD65G9H2QUE9,7,22,22,22,15
13,['Comedy movies'],plus one,jack quaid,jeff chan,No,Blue Bot recommended a movie but it doesn't fit my personal preferences.,4,4,3,4,3,3,No,Cyan Bot didn't recommend a movie.,1,2,2,1,2,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,3,2,1,1,1,No,Green Bot didn't recommend a movie.,1,3,1,4,3,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,3,2,4,3,['Comedy movies'],A1DH31FIHH5Y29,22,22,6,5,22
14,"['Action movies', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Drama movies', 'Sci-fi movies']",A Beautiful Mind,Amy Adams,Clint Eastwood,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,2,2,3,3,4,3,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,3,3,3,4,3,No,Yellow Bot didn't recommend a movie.,1,4,2,1,4,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,3,3,3,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,4,4,4,4,2,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Drama movies', 'Sci-fi movies']",A3KF6O09H04SP7,4,5,3,5,4
15,"['Comedy movies', 'Documentary movies']",last american virgin,terminator,clint eastwood,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,3,3,3,3,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,3,3,3,4,3,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,4,4,4,4,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,3,3,3,4,1,['Comedy movies'],A1ROEDVMTO9Y3X,9,5,5,10,8
16,"['Action movies', 'Mystery movies', 'Comedy movies', 'Documentary movies']",Liar Liar,Jim Carey,Steven Spielberg. ,Yes,Blue Bot recommended a movie and it fits my personal preferences.,1,2,2,2,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,2,3,3,4,4,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,1,1,1,1,1,1,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,1,1,1,1,1,5,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,3,4,3,"['Mystery movies', 'Comedy movies', 'Documentary movies']",A2J51BI7XS5ZYU,6,9,3,4,6
17,"['Action movies', 'Horror movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",Silent Hill,Kate Mulgrew,Jonathan Frakes,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,3,4,3,3,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,3,3,3,2,2,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,5,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,4,4,4,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,2,2,3,2,1,"['Action', 'Horror movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A3TS15DY3N8JHE,9,9,9,6,4
18,"['Comedy movies', 'Documentary movies', 'Action movies', 'Horror movies']",Army of Darkness,Bruce Campbell,Martin Scorsese,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,5,3,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,4,3,5,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,5,4,4,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,5,4,5,1,"['Horror movies', 'Documentary movies', 'Comedy movies']",A1G187YBG0DVMQ,6,6,7,6,8
19,"['Action movies', 'Comedy movies', 'Documentary movies', 'Drama movies']",CRAWL,WILL SMITH,JOHN SAYLES,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,5,5,4,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,5,5,1,"['Action', 'Mystery movies', 'Drama movies', 'Comedy movies']",A2Y87M8V0N1M6P,7,7,8,6,7
20,"['Action movies', 'Horror movies', 'Comedy movies', 'Sci-fi movies', 'Drama movies']",The Devil Wears Prada,Brad Pitt,Woody Allen,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,5,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,3,3,2,3,3,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,4,5,4,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,3,4,3,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,5,4,5,"['Comedy movies', 'Drama movies', 'Sci-fi movies']",A1C9ZHH1PV21PG,6,22,13,10,6
21,"['Action movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",Avengers,Pierce Brosnan,Quentin Tarintino,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,5,4,5,5,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,2,3,3,2,4,2,No,Yellow Bot didn't recommend a movie.,2,1,1,1,2,5,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,5,4,4,4,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,5,4,5,1,"['Action', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A2JDYN6QM8M5UN,13,10,9,5,7
22,['Horror movies'],scream,adam sandler,tim burton,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,5,4,4,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,5,5,4,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,4,4,4,5,1,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,5,3,3,3,3,No,Red Bot didn't recommend a movie.,3,5,3,4,4,3,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Drama movies', 'Sci-fi movies']",A34CPKFZXBX1PO,7,10,8,7,8
23,"['Action movies', 'Comedy movies', 'Horror movies']",COMEDY MOVIES,ROBERT,MARTIN,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,3,2,5,3,2,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,3,5,3,3,Yes,Yellow Bot didn't recommend a movie.,4,3,3,4,5,5,Yes,Green Bot didn't recommend a movie.,4,5,5,5,4,4,No,Red Bot recommended a movie but it doesn't fit my personal preferences.,5,4,4,3,4,4,"['Horror movies', 'Action', 'Comedy movies']",A2TJBRLYCPMTNH,22,22,22,22,22
24,['Horror movies'],Conjuring,Johnny Depp,Christopher Nolan,No,Blue Bot didn't recommend a movie.,4,3,4,3,4,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,4,3,4,4,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,3,4,4,4,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,4,5,4,3,No,Red Bot didn't recommend a movie.,4,3,4,3,5,2,['Horror movies'],A107RJSS561Y7R,4,13,5,8,6
25,"['Horror movies', 'Comedy movies', 'Action movies']",Child's play,Adam Sandler ,Alejandro Jodorowsky,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,5,4,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,4,2,3,3,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,3,3,2,2,3,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,4,3,1,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,4,5,3,5,1,"['Action', 'Comedy movies', 'Drama movies']",A3KF6O09H04SP7,19,18,22,17,22
26,"['Action movies', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Drama movies', 'Sci-fi movies', 'Documentary movies']","The Wolf of Wall Street, Mean Streets, Wiseguys, Casino. Gangs of New York, Bringing Out The Dead, Taxi Driver.","Denzel Washington, Nicolas Cage,  Robert De Niro, Al Pacino, Tom Hanks, Joe Pesci ",Martin Scorcese ,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,1,1,2,1,2,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,4,4,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,2,3,1,3,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,3,3,2,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,2,2,1,2,1,"['Action', 'Horror movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A2NA6X1SON3KFH,22,22,22,22,22
27,"['Action movies', 'Comedy movies', 'Sci-fi movies']",Avengers End Game,Hugh Jackman,James Cameron,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,5,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,5,5,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,5,5,1,"['Action', 'Comedy movies', 'Documentary movies', 'Mystery movies']",A15VRRHQCLJHC8,3,5,13,3,4
28,"['Action movies', 'Horror movies', 'Comedy movies', 'Documentary movies', 'Sci-fi movies']",Inception,Johnny Depp,Stanley Kubrick,Yes,Blue Bot recommended a movie and it fits my personal preferences.,2,1,3,2,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,4,5,5,4,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,4,5,3,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,4,4,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,5,5,4,5,1,"['Action', 'Horror movies', 'Documentary movies', 'Comedy movies', 'Sci-fi movies']",AE2SPP0FXRQA1,9,8,10,6,12
29,['Horror movies'],horror movies,Johnny Depp,Steven Spielberg,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,5,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,5,5,4,4,5,5,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,5,5,5,5,5,5,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,5,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,4,5,5,['Sci-fi movies'],A2NUGRVI6IEGN7,3,19,7,6,2
30,"['Drama movies', 'Mystery movies', 'Action movies']",The green mile,Tom Hanks,steven spielberg,Yes,Blue Bot recommended a movie and it fits my personal preferences.,2,1,2,1,3,4,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,3,3,2,4,4,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,1,2,2,1,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,4,3,4,5,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,4,3,2,5,3,"['Action', 'Mystery movies', 'Drama movies']",A2VO8C41JJIQY9,14,17,18,22,18
31,['Comedy movies'],Scoob,Keaton,James Cameron,No,Blue Bot didn't recommend a movie.,3,4,2,2,4,2,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,4,4,3,4,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,5,4,4,4,5,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,5,3,4,5,1,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,3,2,2,4,4,['Comedy movies'],A1KDT32ADI2J8U,6,22,6,7,5
32,"['Action movies', 'Drama movies', 'Sci-fi movies']",Jupiter Ascending,Paul Ruud,Ron Howard,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,1,2,2,1,2,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,5,5,4,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,4,4,3,2,3,3,No,Green Bot didn't recommend a movie.,2,2,3,1,3,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,3,4,3,3,"['Action', 'Drama movies', 'Sci-fi movies']",A2N9U74YIPDQ9F,8,11,11,9,11
33,"['Documentary movies', 'Horror movies', 'Action movies']",Action movie, Ewan McGregor,"
Chris O'Falt",Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,3,2,3,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,2,2,3,3,2,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,2,3,4,2,3,4,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,3,3,3,4,3,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,3,4,4,2,3,"['Action', 'Comedy movies']",A16OH8XXYY0AAS,2,2,2,2,2
34,"['Comedy movies', 'Horror movies']",Conjuring,Johnny Depp,Christopher Nolan,No,Blue Bot didn't recommend a movie.,4,4,4,3,5,3,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,3,4,4,4,2,No,Yellow Bot didn't recommend a movie.,3,4,4,3,4,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,4,5,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,4,5,3,2,"['Horror movies', 'Comedy movies']",A272X64FOZFYLB,4,7,5,4,3
